Engine_Size,Cylinders,Horsepower,Weight,Acceleration,Model_Year,Origin,Vehicle_Type,MPG
1.3,4,55.0,2081.0,10.6,1985,Japan,Sedan,33.2
1.9,4,85.0,2510.0,8.5,1983,USA,Sedan,25.3
2.9,6,192.0,3799.0,9.8,1978,USA,SUV,10.0
3.5,8,256.0,4131.0,8.7,1973,Europe,SUV,10.0
1.7,4,65.0,2715.0,9.6,1974,Europe,Sedan,22.8
3.7,6,233.0,4328.0,10.4,1978,USA,SUV,10.0
2.8,4,119.0,2947.0,10.5,1981,USA,Sedan,20.0
2.8,4,106.0,2492.0,10.4,1977,Japan,Sedan,23.8
3.6,8,290.0,3275.0,6.7,1983,USA,Sports,10.0
5.5,8,,5169.0,8.2,1983,USA,Truck,10.0
3.8,8,265.0,4209.0,8.6,1975,Japan,SUV,10.0
2.3,6,160.0,3400.0,9.9,1972,Japan,SUV,14.5
4.4,6,281.0,3120.0,7.1,1970,USA,Sports,10.0
3.9,8,292.0,4823.0,11.4,1978,Europe,Truck,10.0
3.0,6,181.0,3872.0,11.0,1982,USA,SUV,10.0
4.4,6,282.0,3276.0,6.6,1979,USA,Sports,10.0
1.7,4,75.0,2336.0,8.8,1983,USA,Sedan,26.0
2.8,4,160.0,2431.0,8.3,1975,Japan,Sports,23.1
5.0,8,318.0,4842.0,7.5,1973,Europe,Truck,10.0
2.0,4,86.0,2635.0,9.9,1975,USA,Sedan,18.1
2.3,4,82.0,2533.0,9.7,1981,Japan,Sedan,23.3
2.0,4,91.0,2695.0,8.6,1980,USA,Sedan,20.3
2.8,4,117.0,2651.0,8.9,1982,Europe,Sedan,24.3
2.7,4,104.0,2618.0,11.8,1980,Japan,Sedan,22.9
1.5,4,50.0,2219.0,9.5,1970,Japan,Sedan,26.8
2.7,4,98.0,2532.0,9.6,1976,Japan,Sedan,26.0
2.8,4,188.0,2684.0,8.9,1971,Europe,Sports,20.5
5.2,8,327.0,5289.0,10.6,1985,USA,Truck,10.0
2.8,4,202.0,2386.0,6.5,1973,Europe,Sports,17.2
2.4,6,140.0,2827.0,8.4,1971,USA,Sedan,10.0
4.8,6,264.0,4584.0,11.1,1977,USA,SUV,10.0
3.5,8,286.0,3020.0,5.2,1978,Europe,Sports,10.0
2.9,6,207.0,4018.0,8.8,1972,USA,SUV,10.0
2.2,4,89.0,,9.6,1983,Europe,Sedan,23.7
1.4,4,66.0,2229.0,9.5,1980,Europe,Sedan,25.7
4.0,6,248.0,4322.0,9.6,1977,Europe,SUV,10.0
1.7,4,73.0,2426.0,10.7,1982,Europe,Sedan,25.4
1.8,4,80.0,2590.0,9.7,1982,USA,Sedan,20.2
4.0,8,281.0,4596.0,9.9,1971,USA,SUV,10.0
2.5,6,171.0,3691.0,10.1,1979,Europe,SUV,19.0
4.7,6,264.0,4652.0,8.4,1974,USA,SUV,10.0
2.1,4,81.0,2495.0,9.9,1983,Japan,Sedan,26.8
1.7,6,169.0,2257.0,9.5,1981,Japan,Sports,26.9
3.8,8,285.0,,6.7,1985,Japan,Sports,12.7
4.4,6,250.0,4400.0,9.4,1985,Japan,Truck,10.0
3.4,6,219.0,4003.0,9.7,1981,Europe,SUV,10.0
3.9,8,296.0,4634.0,8.8,1973,Europe,Truck,10.0
3.8,8,266.0,4699.0,10.6,1981,Europe,Truck,10.0
2.4,4,183.0,2442.0,6.9,1985,USA,Sports,23.4
4.3,6,266.0,4809.0,,1974,USA,Truck,10.0
2.4,4,84.0,2858.0,9.8,1983,USA,Sedan,18.3
3.4,6,241.0,4461.0,10.4,1975,USA,Truck,10.0
2.6,4,107.0,2639.0,11.9,1973,USA,Sedan,12.6
3.3,6,209.0,3707.0,9.8,1980,Japan,SUV,11.9
4.1,6,237.0,4250.0,9.1,1980,USA,SUV,10.0
3.7,8,310.0,3299.0,6.2,1976,USA,Sports,10.0
1.8,6,174.0,2224.0,8.2,1972,Japan,Sports,22.6
2.3,4,97.0,2673.0,9.0,1978,USA,Sedan,17.0
3.5,6,235.0,4629.0,10.4,1979,USA,Truck,10.0
1.8,4,79.0,2573.0,9.9,1976,Europe,Sedan,23.7
2.8,4,103.0,2523.0,8.1,1974,Japan,Sedan,19.5
2.5,6,138.0,2659.0,8.2,1972,Europe,Sedan,12.0
2.7,4,94.0,2701.0,8.7,1974,Europe,Sedan,17.7
1.5,4,72.0,2572.0,10.6,1971,USA,Sedan,18.7
3.2,6,210.0,4195.0,9.0,1970,USA,SUV,10.0
2.1,4,91.0,2440.0,10.2,1980,USA,Sedan,22.0
3.5,8,261.0,4404.0,9.8,1985,USA,SUV,10.0
2.2,4,65.0,2411.0,9.5,1973,Japan,Sedan,21.1
2.1,6,118.0,2899.0,10.8,1972,USA,Sedan,13.4
4.7,6,258.0,4574.0,9.2,1970,USA,SUV,10.0
2.9,6,225.0,2860.0,7.4,1977,USA,Sports,10.0
2.8,4,116.0,2898.0,9.2,1977,USA,Sedan,14.8
3.5,8,285.0,3226.0,6.6,1974,USA,Sports,10.0
2.8,4,99.0,2602.0,9.4,1980,Japan,Sedan,21.5
2.3,6,119.0,2707.0,8.0,1983,Europe,Sedan,19.7
3.4,6,245.0,2919.0,6.7,1974,USA,Sports,10.0
3.5,8,265.0,4643.0,8.7,1976,USA,Truck,10.0
4.2,6,243.0,4693.0,10.2,1973,Europe,Truck,10.0
3.2,6,159.0,3035.0,9.2,1983,USA,Sedan,12.3
4.6,6,275.0,4848.0,9.8,1971,USA,Truck,10.0
3.5,8,268.0,2734.0,6.3,1983,Japan,Sports,16.6
3.5,8,246.0,4339.0,9.8,1975,USA,SUV,10.0
4.7,8,312.0,5418.0,8.8,1974,USA,Truck,10.0
2.4,6,195.0,2071.0,5.8,1980,Japan,Sports,24.3
3.8,6,233.0,4134.0,,1982,Japan,SUV,10.0
3.9,6,245.0,4492.0,11.4,1982,USA,SUV,10.0
5.1,8,333.0,5385.0,8.5,1982,USA,Truck,10.0
2.8,4,107.0,3020.0,9.6,1981,USA,Sedan,17.2
2.8,4,117.0,2996.0,9.8,1970,USA,Sedan,14.1
2.8,6,149.0,2608.0,8.8,1972,Japan,Sedan,12.6
